,Review_text,Sentiment
0,"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.          0", 0
1,"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.          0", 0
2,"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.          0", 0
3,Very little music or anything to speak of.          0, 0
4,The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.          1, 1
5,"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.          0", 0
6,Wasted two hours.          0, 0
7,"Saw the movie today and thought it was a good effort, good messages for kids.          1", 1
8,A bit predictable.          0, 0
9,Loved the casting of Jimmy Buffet as the science teacher.          1, 1
10,And those baby owls were adorable.          1, 1
11,"The movie showed a lot of Florida at it's best, made it look very appealing.          1", 1
12,The Songs Were The Best And The Muppets Were So Hilarious.          1, 1
13,It Was So Cool.          1, 1
14,"This is a very ""right on case"" movie that delivers everything almost right in your face.          1", 1
15,"It had some average acting from the main person, and it was a low budget as you clearly can see.          0", 0
16,"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.          1", 1
17,"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.          1", 1
18,"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.          1", 1
21,"If there was ever a movie that needed word-of-mouth to promote, this is it.          1", 1
22,"Overall, the film is interesting and thought-provoking.          1", 1
23,"Plus, it was well-paced and suited its relatively short run time.          1", 1
24,Give this one a look.          1, 1
26,The Wind and the Lion is well written and superbly acted.          1, 1
27,It is a true classic.          1, 1
28,It actually turned out to be pretty decent as far as B-list horror/suspense films go.          1, 1
29,Definitely worth checking out.          1, 1
30,The problem was the script.          0, 0
31,It was horrendous.          0, 0
32,There was NOTHING believable about it at all.          0, 0
33,The only suspense I was feeling was the frustration at just how retarded the girls were.          0, 0
34,MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.          1, 1
35,The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.          1, 1
36,The cast of veteran actors are more than just a nostalgia trip.          1, 1
37,Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.          1, 1
38,"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.          1", 1
39,I don't think you will be disappointed.          1, 1
40,"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.          0", 0
41,"The acting was bad, the dialogs were extremely shallow and insincere.          0", 0
42,"It was too predictable, even for a chick flick.          0", 0
43,Too politically correct.          0, 0
44,Very disappointing.          0, 0
45,"The only thing really worth watching was the scenery and the house, because it is beautiful.          1", 1
46,"I love Lane, but I've never seen her in a movie this lousy.          0", 0
47,An hour and a half I wish I could bring back.          0, 0
48,But in terms of the writing it's very fresh and bold.          1, 1
49,"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.          1", 1
50,The directing and the cinematography aren't quite as good.          0, 0
51,"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!          0", 0
52,"), and sometimes it was so embarrassing that I had to look away.          0", 0
53,The directing seems too pretentious.          0, 0
54,"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.          0", 0
55,And generally the lines and plot is weaker than the average episode.          0, 0
56,"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.          0", 0
57,"Some applause should be given to the ""prelude"" however.          1", 1
58,I really liked that.          1, 1
59,A great film by a great director.          1, 1
60,The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.          1, 1
61,The music in the film is really nice too.          1, 1
62,I'd advise anyone to go and see it.          1, 1
63,Brilliant!          1, 1
64,10/10          1, 1
65,I liked this movie way too much.          1, 1
66,My only problem is I thought the actor playing the villain was a low rent Michael Ironside.          0, 0
67,It rocked my world and is certainly a must see for anyone with no social or physical outlets.          1, 1
68,"However, this didn't make up for the fact that overall, this was a tremendously boring movie.          0", 0
69,"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.          0", 0
70,There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.          0, 0
71,"This was a poor remake of ""My Best Friends Wedding"".          0", 0
72,"All in all, a great disappointment.          0", 0
73,"I cannot believe that the actors agreed to do this ""film"".          0", 0
74,I could not stand to even watch it for very long for fear of losing I.Q.          0, 0
75,I guess that nobody at the network that aired this dribble watched it before putting it on.          0, 0
77,"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.          0", 0
78,"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.          0", 0
79,"These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.          0", 0
80,All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.          0, 0
81,"It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.          0", 0
82,"You can't relate with them, hell you barely can understand them.          0", 0
83,This is definitely a cult classic well worth viewing and sharing with others.          1, 1
84,"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.          0", 0
85,The fish is badly made and some of its underwater shots are repeated a thousand times in the film.          0, 0
86,"A truly, truly bad film.          0", 0
87,"The acting is terrible, and the writing is worse.          0", 0
88,The only possible way this movie could be redeemed would be as MST3K fodder.          0, 0
89,I paid too much.          0, 0
90,"Also, it's a real treat to see Anthony Quinn playing Crazy Horse.          1", 1
91,It was so BORING!          0, 0
92,No plot whatsoever!          0, 0
93,"Again, no plot at all.          0", 0
94,Horrible!          0, 0
95,Worst hour and a half of my life!Oh my gosh!          0, 0
96,I had to walk out of the theatre for a few minutes just to get some relief!          0, 0
97,I hate movies like that.          0, 0
98,"Yeah, the movie pretty much sucked.          0", 0
99,THERE IS NO PLOT OR STORYLINE!!          0, 0
100,"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.          0", 0
101,Awful.          0, 0
102,I don't think I've ever gone to a movie and disliked it as much.          0, 0
103,It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.          0, 0
104,NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).          0, 0
105,"This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.          0", 0
106,"Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.          0", 0
107,"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.          1", 1
108,Your brain will attempt to shut-down as part of a primal impulse of self-preservation.          0, 0
109,I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.          0, 0
110,This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.          0, 0
111,I certainly do not mean this distinction in a good way.          0, 0
112,I mean this in a terrible way.          0, 0
113,This film has no redeeming features.          0, 0
114,Everything is appalling.          0, 0
115,"Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.          0", 0
116,The story is beyond stupid.          0, 0
117,The script iswas there a script?          0, 0
118,The kids are annoying.          0, 0
119,The lead man is charisma-free.          0, 0
120,"Utterly without merit on any level, this is akin to torture.          0", 0
121,I'll even say it again  this is torture.          0, 0
122,Maybe there would be a reasonable explanation for this atrocity.          0, 0
123,Not a pleasant voyage of self-discovery.          0, 0
124,Highly unrecommended.          0, 0
125,"If this premise sound stupid, that's because it is.          0", 0
126,"Yes, it's that bad.          0", 0
127,Nothing at all to recommend.          0, 0
128,An excellent performance from Ms.          1, 1
129,"Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.          1", 1
130,It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.          1, 1
131,"This movie suffered because of the writing, it needed more suspense.          0", 0
132,There were too many close ups.          0, 0
133,But other than that the movie seemed to drag and the heroes didn't really work for their freedom.          0, 0
134,But this movie is definitely a below average rent.          0, 0
137,"To those who find this movie intelligent or even masterful, I can only say - it's your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt (it's in our human nature to try and make sense of things) .          0", 0
138,"One more thing: I can tolerate political incorrectness very well, I'm all for artistic freedom and suspension of disbelief, but the Slavic female character was just too much.          0", 0
139,This is such a fun and funny movie.          1, 1
140,Highly entertaining at all angles.          1, 1
141,"It features an outlandish array of memorable, psychotic but lovable nuts.          1", 1
142,"So for our enjoyment we get to see them run around, play games, and be dangerous.          1", 1
143,It even has its sweet moments.          1, 1
144,The telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine.          1, 1
145,All the characters in this film are tremendously well played.          1, 1
146,And I really did find them funny.          1, 1
147,This is actually a very smart movie.          1, 1
148,There is a brilliant twist ending.          1, 1
150,It's just lame.          0, 0
151,The guy who said he's had better dialogue with his potted plants has it right.          0, 0
152,Everything about this movie is stupid.          0, 0
153,"Even if you love bad movies, do not watch this movie.          0", 0
154,It is shameful.          0, 0
156,"The writers were ""smack on"" and I think the best actors and actresses were a bonus to the show.These characters were so real.          1", 1
157,I must say I have taped most of the episodes and i find myself watching them over and over again.          1, 1
159,"I don't know exactly what it is about this movie, but we latched on to this endearing movie and it has become a special part of our family's memories.          1", 1
160,I totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is.          1, 1
161,The things that the four kids get themselves into is absolutely hilarious to watch.          1, 1
162,This is one of the best movies out there that shows such strong sibling bond for each other.          1, 1
163,"Much more interesting, more action, more suspense, and less of the unneeded controversy.          1", 1
164,Everything from acting to cinematography was solid.          1, 1
165,Definitely worth checking out.          1, 1
166,Damian is so talented and versatile in so many ways of writing and portraying different Characters on screen.          1, 1
167,This movie has a cutting edge to it.          1, 1
168,"I am so pleased to know such a modern day genius is out there , letting is passion for Art drive him and taking us as an audience with him.          1", 1
169,"The new characters weren't all that memorable, and I found myself forgetting who was who.          0", 0
170,I felt as though her going to Ireland did absolutely nothing whatsoever.          0, 0
171,"It didn't make me scared, horrified, or make me sympathetic towards the characters; it was simply annoying.          0", 0
172,The jerky camera movements were also annoying.          0, 0
173,The plot was the same as pretty much every other cheap horror.          0, 0
174,"There was a few pathetic attempts to give the characters some depth, but it didn't really work into the rest of the plot.          0", 0
175,"I guess it was supposed to be clever twist, then shed some light on the situation, but it was just stupid.          0", 0
176,"If you see it, you should probably just leave it on the shelf.          0", 0
177,"Elias Koteas,Jack Palance play good roles Angelina is hot and gets naked.Billy Drago appears in this and is cool as usual + a cameo by Sven ole Thorsen helps make this a very enjoyable movie with good acting and a decent budget.          1", 1
178,This was such an awesome movie that i bought it off of Ebay.          1, 1
179,"I really loved the story line and the poler bear was kinda cute.But if anyone has a question about Fort Steele, just ask away:)          1", 1
180,This totally UNfunny movie is so over the top and pathetic and unrealistic that throughout the whole 90 minutes of utter torture I probably looked at my watch about 70000 times!          0, 0
181,Lucy Bell is so much higher than this crap and for her to sink this low is quite depressing.          0, 0
182,All this movie does is make you sick watching all these slackers make excuses for their stupid actions for 90 minutes.          0, 0
183,"God, and I can never get that 90 minutes back!          0", 0
184,"I think the most wonderful parts (literally, full of ""wonder"") are the excerpts from his works.          1", 1
185,"The sets (especially designed to work with the camera) are amazing....stylized, beautiful and effective.          1", 1
186,They could be used as exemplars for any set designer.          1, 1
187,The stories were powerful explorations of the nature of man and of art.          1, 1
188,"After watching this film, I wanted to learn more about the works of this artist.          1", 1
189,"I highly recommend this movie for anyone interested in art, poetry, theater, politics, or Japanese history.          1", 1
190,"Here, in The Wind and the Lion, we see a wonderful rendering of America's own Imperial age.          1", 1
191,") What makes this story different are the terrific production values - faultless photography, composition and editing - the terrific casting - the underappreciated Brian Keith playing a bully Teddy - and vivid history.          1", 1
192,"Though The Wind and the Lion is told largely through the eyes of the son, every member of the family can identify with one of the characters, whether it be Sean Connery's noble brigand, Candace Bergen's feisty heroine, John Huston's wily John Hay or Steve Kanaly's spiffy, radiant, ruthless can-do lieutenant, Roosevelt's ""Big Stick"".          1", 1
193,This is high adventure at its best.          1, 1
194,"I think it was Robert Ryans best film, because he portrayed someone like my father, and he was a schizophrenic in real life,(my father) although he never murdered anyone but was affected more so during the second world war which made him worse.          1", 1
195,Having to humour him just to get by and get through the day was so apt.          1, 1
196,"(My mother and brother had to do this)When I saw Robert Ryan portraying this type of man, it was a very good imitation of this type of individual, and I was impressed.          1", 1
197,Almost all of the songs in Cover Girl are old-fashioned and not very tuneful.          0, 0
198,The most annoying thing about 'Cover Girl' is the way in which Rita Hayworth is put up on a pedestal.          0, 0
199,"Unfortunately, 'Cover Girl' is an example of how Hollywood used to exploit women for financial gain.          0", 0
200,Non-linear narration thus many flashbacks and every part are articulated quite well.          1, 1
201,The good cinematography also makes her and Monica Bellucci look very beautiful.          1, 1
202,A good commentary of today's love and undoubtedly a film worth seeing.          1, 1
203,"For people who are first timers in film making, I think they did an excellent job!!          1", 1
204,"It was very popular when I was in the cinema, a good house and very good reactions and plenty of laughs.          1", 1
205,It's a feel-good film and that's how I felt when I came out of the cinema!          1, 1
206,It has northern humour and positive about the community it represents.          1, 1
207,I rather enjoyed it.          1, 1
208,I liked it.          1, 1
209,I couldn't take them seriously.          0, 0
210,It really created a unique feeling though.          1, 1
211,Vivian Schilling did an excellent job with the script.          1, 1
212,A world better than 95% of the garbage in the theatres today.          1, 1
213,Her role was played well.          1, 1
214,Not too screamy not to masculine but just right.          1, 1
215,The camera really likes her in this movie.          1, 1
216,I would have casted her in that role after ready the script.          1, 1
218,I am a fan of his ... This movie sucked really bad.          0, 0
219,Even worse than Ticker!          0, 0
220,& That movie was bad.          0, 0
221,"Only like 3 or 4 buildings used, a couple of locations MAYBE, & poor hummh!          0", 0
222,It just blew.          0, 0
223,"This movie is excellent!Angel is beautiful and Scamp is adorable!His little yelps when hes scared,and the funniest parts are when:Scamp is caught under the curtain and when Angel and Scamp are singing 'Ive Never Had This Feeling Before'.I totally recommend this movie,its coming out on special edition on June 20.The cover has scamp on a garbage can and Angel underneath the lid.          1", 1
224,"I just cant explain this movie more than romantic,charming,hilarious,and adorable.The junkyard scenes are funny,all the junkyard dogs have something special.Too funny i laughed,kids will LOVE it.Buy it when it comes out,it has new features!          1", 1
225,Now we were chosen to be tortured with this disgusting piece of blatant American propaganda.          0, 0
226,This show is made for Americans - it is too stupid and full with hatred and clichés to be admitted elsewhere.          0, 0
227,"Almost everyone involved must be return to school, acting is utterly predictable and bad, script is pile of garbage all round.          0", 0
228,"I wish I could enter negative values, admins?          0", 0
229,"The sets are so bad, they wouldn't look out of place on a Thunderbirds episode.          0", 0
230,"The use of slow-motion needlessly repeats itself throughout the movie but is well backed up by bad acting (and bad is a kind word here), no continuity, scenes that are thrown in for no reason whatsoever, vehicles that looked like they were made from a Corn Flakes box and a directorial style that bordered on stupidity.          0", 0
231,"Oh yeah, and the storyline was pathetic too.          0", 0
232,I hate writing bad reviews about films - especially those in which I really like the star - but this film is so bad I don't believe for one second that anyone could have been proud of it.          0, 0
233,I am not a filmmaker nor am I a director but I would hide my head in the sand if I'd spent whatever amount of money and time on this movie.          0, 0
234,In short - this was a monumental waste of time and energy and I would not recommend anyone to EVER see this film.          0, 0
235,It came free with a DVD player I bought but I still turned the thing off halfway through because I was embarrassed for Howell.          0, 0
237,"An interesting premise, and Billy Drago is always good as a dangerous nut-bag (side note: I'd love to see Drago, Stephen McHattie and Lance Hendrikson in a flick together; talk about raging cheekbones!).          1", 1
238,"The soundtrack wasn't terrible, either.          1", 1
239,"But the acting--even that of such professionals as Drago and Debbie Rochon--was terrible, the directing worse (perhaps contributory to the former), the dialog chimp-like, and the camera work, barely tolerable.          0", 0
240,"Still, it was the SETS that got a big ""10"" on my ""oy-vey"" scale.          1", 1
241,"Yes, I am simplifying things here for the sake of brevity, for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.          0", 0
242,Both do good jobs and are quite amusing.          1, 1
243,"But the convoluted plot just didn't convince me, and much of the film was watched with a weird, questioning glance.          0", 0
244,"I let my girlfriend talk me into seeing this - bad idea, we both hated it.          0", 0
246,"Bela Lugosi was totally extraneous, intoning odd lines.          0", 0
247,"The acting was decidely wooden, though no worse than a period Universal B movie.          0", 0
248,"I like Armand Assante & my cable company's summary sounded interesting, so I watched it, twice already, and probably will again.          1", 1
249,I believe the screenwriter did a good job of tying up the loose ends.          1, 1
250,My 8/10 score is mostly for the plot.          1, 1
251,"I won't say any more - I don't like spoilers, so I don't want to be one, but I believe this film is worth your time.          1", 1
252,"Wow, what a bad film.          0", 0
253,"Not frightening in the least, and barely comprehensible.          0", 0
254,"The plot doesn't hang together at all, and the acting is absolutely appalling.          0", 0
255,Not even good for camp value!          0, 0
256,"I wasn't expecting Oscar material, but this?          0", 0
257,You'd have to have the IQ of particularly stupid mollusk not to see that one coming.          0, 0
258,This film (and I use that word loosely) is an insult to the movie-going public.          0, 0
259,If only someone involved with it knew how to string together narrative!          0, 0
261,"This is one I did not have, but I watched it recently on Fox Movie Channel, and was very disappointed.          0", 0
262,"I know he was a contract player with little control over his scripts, but the acting was as bad as the script.          0", 0
263,"Victor McLaglen was even bad, and Brian DonLevy was almost unrecognizable.          0", 0
264,"Considering the relations off screen between Taylor and Stanwyck, it was surprising how little chemistry there was on screen between the two of them.          0", 0
265,But the premise of the film was so ridiculous: that the President of the U.S.          0, 0
266,The death row scenes were entirely unmoving.          0, 0
267,The only thing worse than Taylor's acting was Stanwyck's singing.          0, 0
268,"Whatever the producer was going for, he missed entirely.          0", 0
269,I was deeply impressed with the character he played.          1, 1
270,I knew when I saw the film that more great things were to come from this gifted actor.          1, 1
271,"A cheap and cheerless heist movie with poor characterisation, lots of underbite style stoic emoting (think Chow Yun Fat in A Better Tomorrow) and some cheesy clichés thrown into an abandoned factory ready for a few poorly executed flying judo rolls a la John Woo.          0", 0
272,Even the squibs look awful.          0, 0
273,At no point in the proceedings does it look remotely like America.          0, 0
274,"The plot, such as it is, is so derivative and predictable that the ending is like a mercy killing.          0", 0
275,The awful dialogue and hopeless overacting by everyone who gets shot top off a real waste of space and time.          0, 0
276,"I was very uneasy with how bad this movie was, but not scared at all.          0", 0
277,The dialogue is composed of things that make little sense.          0, 0
278,"About 30 minutes of footage is wasted to show mediocre elderly actors awkwardly babbling overwrought pseudo-Satanic gibberish corny enough to make a teen Goth blush, almost always in Olde English, and sometimes in Latin that may or may not be made up words.          0", 0
279,The directing is sloppy at best.          0, 0
280,"Hackneyed writing, certainly, but made even worse by the bad directing.          0", 0
281,"Of course, the acting is blah.          0", 0
282,The acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting.          0, 0
283,"And, FINALLY, after all that, we get to an ending that would've been great had it been handled by competent people and not Jerry Falwell.          0", 0
284,"I loved this movie it was a great portrayal of a family who had it's share of ups and down, but in the end they knew that special love they had for each other.          1", 1
286,"This movie contained an all-star cast, and what I loved the most was that it opened my eyes to see other actors who I haven't seen before.          1", 1
287,"This movie was kind of long in length, but I enjoyed every minute of it.          1", 1
289,"Lifetime does not air it enough, so if anyone knows what store sells it let me know because this is a must-have.          1", 1
290,"I particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning, and even less meaning.          0", 0
291,It is just the sort of pap that is screened in the afternoon to punish the unemployed for not having jobs.          0, 0
292,"Totally different, with loads of understatement and black comedy, this is a film few get to see, but those who do will remember it.          1", 1
293,"This movie creates its own universe, and is fascinating in every way.          1", 1
294,But this movie really got to me.          1, 1
295,See it.          1, 1
296,"I really hope the team behind this movie makes more movies, and that they will continue to do so in their own, some kinda weird style.          1", 1
297,"And I forgot: The Casting here i superb, with Trond Fausa Aurvåg being perfect in the role as the Bothersome Man, who doesn't understand where he is, what he is doing and why.          1", 1
298,This movie is a good and humorous comment on life in 2006.          1, 1
299,"I found this move beautiful, enjoyable, and uplifting.          1", 1
300,"Initially the local sites in the film, which was filmed here in Buffalo, intrigued me.          1", 1
301,Later I found myself lost in the power of the film.          1, 1
302,The entire audience applauded at the conclusion of the film.          1, 1
303,"I left the theater with a lilt in my step, joy in my heart and hope for the human race.          1", 1
304,Duris has a wholesome appearance and gives a fine performance.          1, 1
305,The rest of the cast also play well.          1, 1
306,Cinematography noteworthy including fine views of Barcelona and its famed Gaudi towers.          1, 1
307,About ten minutes into this film I started having second thoughts.          0, 0
308,About half way through this film I started to dislike it.          0, 0
309,"By the time the film ended, I not only disliked it, I despised it.          0", 0
310,What this film lacks is a convincing script.          0, 0
311,The script looks as if only a rough draft was written and shooting began before a finished script was completed.          0, 0
312,"Things happen, characters personalities change, plot twists occur for no real reason other than that script calls for it.          0", 0
313,The cast is good.          1, 1
314,"For that, it's worth checking out.          1", 1
315,This is probably the most irritating show I have ever seen in my entire life.          0, 0
316,It is indescribably the most annoying and idiotic show I have ever seen.          0, 0
317,Everything about it is just bad.          0, 0
318,"I could not understand, what kind of idiot would produce this mess in the first place not to mention several season.          0", 0
319,"The script is bad, very bad  it contains both cheesiness and unethical joke that you normally see in rated R or NC-17 movie.          0", 0
320,"The casting is also horrible, cause all you see is a really really BAD Actors, period.          0", 0
321,Final Word: This Show is a real torture!!          0, 0
322,It is zillion times away from reality.          0, 0
323,Watching washing machine twirling around wouldn't hurt your eyes as much as this show.          0, 0
326,"Full of unconvincing cardboard characters it is blandly written by Edward Chodorov, who also produced, and is surprisingly directed by Jean Negulesco from whom one would expect a great deal more.          0", 0
327,From here on the Widmark character turns unintentionally comical!          0, 0
328,His losing his marbles so early in the proceedings is totally implausible and unconvincing.          0, 0
329,And if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.          0, 0
330,Whatever prompted such a documentary is beyond me!          0, 0
331,(very serious spoilers) this movie was a huge disappointment.          0, 0
332,there are so many problems i dont know where to start.          0, 0
333,the cast was great.          1, 1
334,"steve martin delivers a really funny performance of a middle-aged, upper class, uptight white guy.          1", 1
335,add betty white and jean smart and you have a great cast - everyone played their parts really well.          1, 1
336,but the movie makes a lot of serious mistakes.          0, 0
337,"first of all, there are enough racial stereotypes and racial jokes to offend everyone.          0", 0
338,the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.          0, 0
339,"putting the race card aside, lets look at the major flaw in the film: they destroy latifa's character.          0", 0
340,there is no real plot.          0, 0
341,i wouldnt see this movie again for free.          0, 0
342,STEAMBOAT WILLIE is an amazingly important film to our cinema history.          1, 1
343,This second appearance of Mickey Mouse (following the silent PLANE CRAZY earlier that year) is probably his most famous film--mostly because it was so ground-breaking.          1, 1
345,"However, after seeing the short again after about 25 years, I was amazed at how timeless the film actually is.          1", 1
346,"It's just adorable seeing Mickey playing ""Turkey in the Straw"" in a highly imaginative (if occasionally cruel) way.          1", 1
347,Clever and a real crowd-pleaser--this film still ranks among Mickey's best films even after 80 wonderful years.          1, 1
348,"The bipolarity of the ruthless thug (one minute a ruthless killer, the next minute a Luv's diaper commercial) is completely unconvincing.          0", 0
349,"I'm terribly disappointed that this film would receive so many awards and accolades, especially when there are far more deserving works of film out there.          0", 0
350,The original Body and Soul (1947) is a masterpiece.          1, 1
351,"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe.          1", 1
352,I don't think there are any redeeming qualities in this remake.          0, 0
353,This may be the only bad film he ever made.          0, 0
354,So bad...well...it's just bad.          0, 0
355,"This movie is a solid example of a bad plot and a very, very bad idea all the way.          0", 0
356,It's a shame to see good actors like Thomerson and James make a living in a mess like this.          0, 0
357,I thought it was bad.          0, 0
359,"Let's start with all the problemsthe acting, especially from the lead professor, was very, very bad.          0", 0
360,The script is a big flawed mess.          0, 0
361,The best example of how dumb the writing is when it's established that you can turn the zombie-students back into humans by removing a necklace containing a piece of the meteorite.          0, 0
363,The movie is terribly boring in places.          0, 0
364,The lighting is awful.          0, 0
365,The film looks cheap and bland.          0, 0
366,One of the most disappointing aspects is the lack of notable gore.          0, 0
367,"This convention never worked well in the past, and certainly doesn't work here.          0", 0
368,The visual effects were AWFUL.          0, 0
369,The CG opening sequence in space looked like it could have been created on Microsoft Slideshow for God's sake!          0, 0
370,"The ""explosion"" of the Gas tanks at the end was just as awful.          0", 0
371,"Okay, I like to consider myself a fair critic, so I'll give credit where credit's due--the creature effects were actually pretty cool.          1", 1
372,"Gotta love those close-ups of slimy, drooling teeth!          1", 1
373,"To sum the film up, ""Breeders"" is a terrible, cheaply made horror movie that should be avoided like the Ebola virus.          0", 0
374,Not recommended.          0, 0
375,"He is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing.          0", 0
376,"Aside from it's terrible lead, this film has loads of other debits.          0", 0
377,"I understand that it's supposed to be a cheap popcorn comedy, but that doesn't mean that it has to completely insult our intelligence, and have writing so incredibly hackneyed that it borders on offensive.          0", 0
378,"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.          0", 0
379,The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim).          1, 1
380,"With the originality and freshness of the first movie now spent, this remake had little else to offer.          0", 0
381,The budget was evidently very limited.          0, 0
382,"This was reflected not only in the cast, but also in the below-par script, which borrowed much from the earlier classic.          0", 0
